molecule_chembl_id;canonical_smiles;standard_value;clase;Molecule;num_atoms;heavy_atoms;molecular_weight;log_p
CHEMBL206877;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])CC2;4600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9381fc0>;63;38;523.1590793800007;4.664000000000004
CHEMBL294903;CCC[C@@H](CC/C(C)=C/C=C/CCCCC1CSC([C@@H]2C[C@@H]2C)=N1)OC;4600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93820a0>;65;26;377.2752358680011;6.814500000000008
CHEMBL2313789;COc1cc(Sc2c(-c3ncc[nH]3)[nH]c3ccccc23)cc(OC)c1OC;4600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382180>;46;27;381.11471246800045;4.735000000000003
CHEMBL218541;COc1ccc(/C=C(\F)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1;4600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382260>;44;25;346.1216519280005;3.9143000000000034
CHEMBL3326000;COC(=O)c1ccc(Nc2cccc3c2N(S(=O)(=O)c2ccc(OC)cc2)CC3)cc1;4700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382340>;53;31;438.12494280400057;3.9768000000000034
CHEMBL206073;O=C(NC(=O)c1ccccc1[N+](=O)[O-])Nc1ccc(Oc2ncc(Br)cn2)cc1;4700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382420>;41;29;457.0021805840004;3.901500000000002
CHEMBL1714537;C=CC[C@@H](CC/C=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;4800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382500>;58;25;359.22828567600095;5.976400000000007
CHEMBL1791395;CC[C@@H](C)[C@@H]1NC(=O)[C@@H](NC)[C@H](O)c2ccc(O)c(c2)O[C@](C)(CC)[C@@H](C(=O)NCC(=O)O)NC1=O;4800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93825e0>;72;36;508.25331411200096;-0.20879999999999677
CHEMBL382558;c1coc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1;4900.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93826c0>;43;28;377.11240396000034;3.809000000000002
CHEMBL3331200;COc1ccc(-c2cc3c4ccccc4n(C(C)=O)c3nn2)cc1OC;4920.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93827a0>;43;26;347.1269914040005;3.9288000000000025
CHEMBL4242425;COc1ccc(N(C)C2=CC(=O)C(=O)c3ccccc32)cc1F;4978.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382880>;37;23;311.0957715280004;3.0770000000000017
CHEMBL215181;COc1ccc(S(=O)(=O)N2CCc3cccc(NCc4ccccc4)c32)cc1;5000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382960>;50;28;394.1351135640006;4.058700000000003
CHEMBL246600;COc1ccc(C[C@@H](O)c2cc(OC)c(OC)c(OC)c2)cc1O;5000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382a40>;46;24;334.14163842400063;2.7027000000000014
CHEMBL204811;Fc1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)cc1;5000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382b20>;49;31;419.1393676560004;4.397600000000002
CHEMBL4798567;Cc1cc(-c2cccc(-c3c[nH]c4ccccc34)n2)c2ccccc2n1;5000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382c00>;43;26;335.1422475440005;5.753520000000004
CHEMBL4468802;COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OCCCCCCCC(=O)NO;5000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382ce0>;74;37;515.2519171440009;5.232000000000004
CHEMBL3740589;COc1ccc(-c2ccsc2-c2cc(OC)c(OC)c(OC)c2)cc1O;5010.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382dc0>;46;26;372.1031447400005;4.822100000000004
CHEMBL317013;COc1ccc(/C(C#N)=C\c2cc(OC)c(OC)c(OC)c2)cc1N;5011.87;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382ea0>;45;25;340.14230712000057;3.3673800000000016
CHEMBL103062;COc1ccc(/C=C(/C#N)c2cc(OC)c(OC)c(OC)c2)cc1O;5011.87;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9382f80>;44;25;341.1263227080005;3.490780000000003
