molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL4878868;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccco2)cc(OC)c1OC;460.0;intermediate
CHEMBL4845944;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccccn2)cc(OC)c1OC;460.0;intermediate
CHEMBL4847641;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccoc2)cc(OC)c1OC;470.0;intermediate
CHEMBL4559506;COc1cc(C(=O)c2cn(-c3cccc(N)c3)cc2-c2ccc(N)cc2)cc(OC)c1OC;470.0;intermediate
CHEMBL4293692;COc1cc(Sc2c[nH]c3cc(-c4cccs4)ccc23)cc(OC)c1OC;470.0;intermediate
CHEMBL4857244;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccco2)cc(OC)c1OC;470.0;intermediate
CHEMBL4116552;COc1ccc(N(C)c2nc(C)nc3c(Cc4ccccc4)cn(C)c23)cc1;480.0;intermediate
CHEMBL4526074;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccccc2Cl)cc(OC)c1OC;480.0;intermediate
CHEMBL4516294;COc1ccc(-c2cn(-c3ccccc3)cc2C(=O)c2cc(OC)c(OC)c(OC)c2)cc1;480.0;intermediate
CHEMBL4857653;COc1cc(C(=O)c2cn(-c3cccc(C)c3)cc2-c2nccs2)cc(OC)c1OC;490.0;intermediate
CHEMBL4870429;COc1cccc2cc(N(C)c3nc(Cl)nc4cnn(C)c34)ccc12;490.0;intermediate
CHEMBL3393099;COc1ccc(/C=C/C(=O)c2ccccc2-c2cccc(F)c2)cc1O;490.0;intermediate
CHEMBL224082;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;500.0;intermediate
CHEMBL90555;CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1;500.0;intermediate
CHEMBL225259;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)C(O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)NCC(=O)OCc4ccccc4)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4cccc([N+](=O)[O-])c4)C21)C3(C)C;500.0;intermediate
CHEMBL387904;CC(=O)O[C@@]12COC1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)N[C@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)NCC(=O)O)C(C)C)c4ccccc4)C[C@@](O)([C@@H](OCc4ccccc4)C21)C3(C)C;500.0;intermediate
CHEMBL203642;c1cnc(NCc2ccc3c(c2)OCO3)c(-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1;500.0;intermediate
CHEMBL4586068;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccc(N)cc2)cc(OC)c1OC;500.0;intermediate
